Timestamp,Email Address,Your Full Name,The day you are available,first course you're willing to tutor,second course you're willing to tutor,third course you're willing to tutor,Your Student Number,Booked?,The period are you available
1/16/2021 15:20:10,335546875@gapps.yrdsb.ca,Randi Drury,Monday,ICS2O1,FSF1D1,MPM1D1,320713325,false,Period 1
1/16/2021 15:24:13,335546875@gapps.yrdsb.ca,Dalila Couture,Thursday,SPH3U1,SNC2D1,SCH3U1,303754839,false,Period 2
1/16/2021 15:37:54,335546875@gapps.yrdsb.ca,Stephanie Lee,Tuesday,SNC1D1,BBI201,CGC1D1,344046207,false,Period 3
1/16/2021 15:40:15,335546875@gapps.yrdsb.ca,Alan Peterson,Friday,CHC2D1,MDM4U1,ICS2O1,341935774,false,Period 4
1/16/2021 15:42:57,335546875@gapps.yrdsb.ca,Michael Roy-Diclemente,Wednesday,ICS4U1,ICS3U1,ICS2O1,355148492,false,Period 5
1/16/2021 15:44:39,335546875@gapps.yrdsb.ca,Elijah Wu,Thursday,SCH3U1,MHF4U1,SCH4U1,345695105,false,Period 4
1/16/2021 15:45:37,335546875@gapps.yrdsb.ca,Stephanie Lee,Thursday,MCV4U1,SBI4U1,BAF3M1,335225310,false,Period 3
1/16/2021 16:04:19,335546875@gapps.yrdsb.ca,Horace Moreno,Wednesday,FSF4U1,BAF4M1,MCV4U1,323293305,false,After school
1/16/2021 16:05:20,335546875@gapps.yrdsb.ca,Eric Cannon,Monday,FSF1D1,CGC1D1,MPM1D1,345979229,true,Before school
1/16/2021 16:06:27,335546875@gapps.yrdsb.ca,Opal Martinez,Tuesday,SNC1D1,ENG1D1,ENG2D1,393160694,true,After school
1/16/2021 16:08:07,335546875@gapps.yrdsb.ca,Lena Maxwell,Tuesday,ICS4C1,MHF4U1,MDM4U1,369968439,false,After school
1/16/2021 16:09:01,335546875@gapps.yrdsb.ca,Ty Jamison,Friday,SNC2D1,SBI3U1,MPM2D1,334636532,false,Before school
1/16/2021 16:10:14,335546875@gapps.yrdsb.ca,Lilia Orourke,Thursday,BAF4M1,SCH4U1,SPH4U1,324390038,false,Period 1
1/16/2021 16:11:34,335546875@gapps.yrdsb.ca,Nicholas Stewart,Wednesday,FSF1D1,CHC2D1,MPM1D1,327766364,true,Period 1
1/16/2021 16:12:29,335546875@gapps.yrdsb.ca,Justin Lin,Friday,ENG4U1,ENG1D1,MHF4U1,388253874,false,Period 4
1/16/2021 16:20:11,335546875@gapps.yrdsb.ca,Maria Cohen,Friday,FSF2D1,FSF3U1,ICS3C1,325651612,false,Period 5
1/16/2021 16:21:35,335546875@gapps.yrdsb.ca,Adrian Wade,Monday,CGC1D1,MDM4U1,SNC1D1,342436916,false,Period 3
1/20/2021 21:10:43,349117571@gapps.yrdsb.ca,Bobert Micholas ,Monday,ICS4U1,,,343456789,true,Period 2
1/25/2021 9:59:01,340900570@gapps.yrdsb.ca,Hello hello,Wednesday,ICS4U1,,,807122098,false,Period 4
1/25/2021 20:16:22,349117571@gapps.yrdsb.ca,Bobert Micholas,Wednesday,ICS4U1,MPM1D1,,349185761,true,Period 4
